نوێنەرێ هەردەمی یێ عیراقێ ل رێکخراوێن نیڤدەولەتی ل ڤیەننا ، باڵیۆز بەکر فەتاح حسێن سەرپەرشتیا 11ەمین کۆمبوونا کۆنفرانسێ بەرهنگاربوونا تاوانێن رێکخراوێن نێڤدەولەتی کر ، دکۆمبوونێ دا هەژمارەکا پرۆژەیان بۆ بەرهنگاربوونا تاوانێن رێکخراوێن نیڤدەولەتی ، وەک بازرگانی کرن ب مرۆڤان و نازرگانییا ماددەیێن هشبەر و قاچاخچیاتی و چەند تاوانەکێن دی لسەر ئاستێ جيهانێ گۆتۆبێژ کرن	نوێنەرێ هەردەمی یێ عیراقێ ل رێکخراوێن نیڤدەولەتی ل ڤیەننا ، باڵیۆز بەکر فەتاح حسێن سەرپەرشتیا 11ەمین کۆمبوونا کۆنفرانسێ بەرهنگاربوونا تاوانێن رێکخراوێن نێڤدەولەتی کر ، دکۆمبوونێ دا هەژمارەکا پرۆژەیان بۆ بەرهنگاربوونا تاوانێن رێکخراوێن نیڤدەولەتی ، وەک بازرگانی کرن ب مرۆڤان و نازرگانییا ماددەیێن هشبەر و قاچاخچیاتی و چەند تاوانەکێن دی لسەر ئاستێ جیهانێ گۆتۆبێژ کرن	SCR-YEH
وەزیرێ دەرڤەیێ ئیراقێ، فوئاد حسێن، داخواز ژ جفاکێ نێڤدەولەتی کر پشتەڤانی و هاریکاریێن زێدەتر پێشکێشی پەنابەرێن سووری ل ئیراقێ بکەت	وەزیرێ دەرڤەیێ ئیراقێ، فوئاد حسێن، داخواز ژ جڤاکێ نێڤدەولەتی کر پشتەڤانی و هاریکاریێن زێدەتر پێشکێشی پەنابەرێن سووری ل ئیراقێ بکەت	SCR-DIA
پاریس سان جێرمان بزاڤا بدەست ڤە ئینانا شیانێن تیو هێرناندێزی کەن	پاریس سان جێرمان بزاڤا بدەست ڤە ئینانا شیانێن تیو هێرناندێزی دکەن	TYP-DEL
دیدارا تلی بەت – دەزگەهێ میدیایێ بادینان	دیدارا تایبەت – دەزگەهێ میدیایێ بادینان	SPC-SPL,TYP-SUB
یۆری کنۆتۆڤ شارەزایێ سەربازیێ رۆسی بۆ رۆژنامەیا (ئەزڤێستیا) دبێژیت: گوللەیا تڤەنگا ستالینگراد هزا و 500 مێتران دچیت و هەر ساجۆرەکێ وێتێرا پێنج گوللەیان دکەت و گەلەک ب هویری ئارمانجێ دهنگێڤیت	یۆری کنۆتۆڤ شارەزایێ سەربازیێ رۆسی بۆ رۆژنامەیا (ئەزڤێستیا) دبێژیت: گوللەیا تڤەنگا ستالینگراد هزار و 500 مێتران دچیت و هەر ساجۆرەکێ وێ تێرا پێنج گوللەیان دکەت و گەلەک ب هویری ئارمانجێ دهنگێڤیت	TYP-DEL,SPC-MRG
ڕاوین دەڵێت: “تیۆرە زانستی و کۆمەڵایەتیەکانی جێندەر، تیۆری تازەن، لە بنەڕەتدا لە ڕۆژئاوا سەریان هەڵداوە	ڕاوین دەڵێت: “تیۆرە زانستی و کۆمەڵایەتییەکانی جێندەر، تیۆری تازەن، لە بنەڕەتدا لە ڕۆژئاوا سەریان هەڵداوە	TYP-DBL
لەورا ئەگەر ب هاریکاریا ڤان کەرتان قانونەک بهیتە دەرکرن	لەورا ئەگەر ب هاریکاریا ڤان کەرتان قانوونەک بهێتە دەرکرن	SCR-DIA,TYP-DBL
تو ژی ب چارگاڤ د چوویە سەر گووفکێ سۆتی و تە خوە دگەڤازت و تو ب وان دکەنی و وان جووتک دههڤدو وەردکرن	تو ژی ب چارگاڤ د چوویە سەر گووفکێ سۆتی و تە خوە دگەڤازت و تو ب وان دکەنی و وان جووتک دهەڤدو وەردکرن	SCR-HEH
هەر د ڤێ دەربارێ دا ل باکورێ کوردستانێ ژی ل هەموو باژێران خوەنیشادانێن بۆ شەرمزارکرنا کریاێرن تیرۆرستان و هەڤکاریا تورکیا بۆ دۆژمنێن گەلێ کورد سازکرن و راگەهاندن کو ئەو ب جان و مال و خوینا خوە ل گەل باشور و رۆژئاڤایێ کوردستانێ نە و سۆزا پشتەڤانیا تەمام بۆ هەردو پارچەیێن کوردستانێ دان	هەر د ڤێ دەربارێ دا ل باکورێ کوردستانێ ژی ل هەموو باژێران خوەنیشادانێن بۆ شەرمزارکرنا کریارێن تیرۆرستان و هەڤکاریا تورکیا بۆ دۆژمنێن گەلێ کورد سازکرن و راگەهاندن کو ئەو ب جان و مال و خوینا خوە ل گەل باشور و رۆژئاڤایێ کوردستانێ نە و سۆزا پشتەڤانیا تەمام بۆ هەردو پارچەیێن کوردستانێ دان	TYP-TRA
د کۆمبوونێ دا بەحسی کارەساتائەنفال و کیمیابارانکرنا هەلەبجە و سیاسەتا دژی مرۆڤایەتییێ یا بەعسییان ل دژی گەلی مە هاتە کرن	د کۆمبوونێ دا بەحسی کارەساتا ئەنفال و کیمیابارانکرنا هەلەبجە و سیاسەتا دژی مرۆڤایەتییێ یا بەعسییان ل دژی گەلێ مە هاتە کرن	SPC-MRG,SCR-DIA
سەرەکیفەیسبۆک 23 هزار فەرمانبەرێن دهۆکێ مافێ وەرگرتنا پارچە ئەردان هەیە	سەرەکی فەیسبۆک 23 هزار فەرمانبەرێن دهۆکێ مافێ وەرگرتنا پارچە ئەردان هەیە	SPC-MRG
د ماوێ هەشت هەیڤێن بۆریدا 001 گەنجێن کورد یێن هەرێما کوردستانێ پەیوەندی ب رێکخراوا تیرۆرستیا داعش ڤە کربوو	د ماوێ هەشت هەیڤێن بۆری دا 001 گەنجێن کورد یێن هەرێما کوردستانێ پەیوەندی ب رێکخراوا تیرۆرستیا داعش ڤە کربوو	SPC-CLT
ڤیدیۆ: ژین و ژیرا وەلاتیان ل بن دەسەلاتا داعش	ڤیدیۆ: ژین و ژیارا وەلاتیان ل بن دەسەلاتا داعش	TYP-DEL
حەفتیا بهێت30هزار کارتێن دەنگدانێ دێ ڤەگەرنە دهۆکێ	حەفتیا بهێت 30 هزار کارتێن دەنگدانێ دێ ڤەگەرنە دهۆکێ	SPC-MRG,SPC-MRG
ل دووڤ نڤیسارەکا وەزارەتا دارایی کو ئیمزایا یاسین واحید ئیسماعیل، رێڤەبەرێ گشتی یێ دیوانا وەزارەتا دارایی و ئابووری یا حکومەتا هەرێما کوردستانێ ل سەر و ب ژمارە 4633 ل رێککەڤتی 4 هەیڤا 9 یا سالا 2022 دەرکەڤتیە، راگەهاندیە، وەزارەتا دارایی بڕیاردا یە دەمێ دەواما فەرمانبەرێن خۆ ژ دەمژمێر 8 سپێدێ بۆ 3 پشتی نیڤرۆ درێژ بکەت	ل دووڤ نڤیسارەکا وەزارەتا دارایی کو ئیمزایا یاسین واحید ئیسماعیل، رێڤەبەرێ گشتی یێ دیوانا وەزارەتا دارایی و ئابووری یا حکومەتا هەرێما کوردستانێ ل سەر و ب ژمارە 4633 ل رێککەڤتی 4 هەیڤا 9 یا سالا 2022 دەرکەڤتیە، راگەهاندیە، وەزارەتا دارایی بڕیاردایە دەمێ دەواما فەرمانبەرێن خۆ ژ دەمژمێر 8 سپێدێ بۆ 3 پشتی نیڤرۆ درێژ بکەت	SPC-CLT
هەمی وێنە یادگارنێن تە	هەمی وێنە یادگاریێن تە	TYP-SUB
زێدەتر گۆت: (چەندین جاران مە جهێن شولەژێ ل سەر فێ یەکێ ئاگەهدارکرینه، بەلێ دیارە کو رەوشا دارایی یا هەرێما کوردستانێ یا گونجای نەبوویە وەکو پێدڤی هاریکاری بۆ جوتیاران بهێنەکرن کو ل سەر کارێن خوە بەردەوام بن ، بەلێ ب هەر رەنگێ بیت پێدڤیە بازارەک بۆ فرۆتنا مریشکا دەڤەرێ بهێتە پەیداکرن داکو جوتیار بشێن ل سەر کارێن خوە بەردەوام بن)	زێدەتر گۆت: (چەندین جاران مە جهێن شولەژێ ل سەر ڤێ یەکێ ئاگەهدارکرینه، بەلێ دیارە کو رەوشا دارایی یا هەرێما کوردستانێ یا گونجای نەبوویە وەکو پێدڤی هاریکاری بۆ جوتیاران بهێنەکرن کو ل سەر کارێن خوە بەردەوام بن ، بەلێ ب هەر رەنگێ بیت پێدڤیە بازارەک بۆ فرۆتنا مریشکا دەڤەرێ بهێتە پەیداکرن داکو جوتیار بشێن ل سەر کارێن خوە بەردەوام بن)	SCR-DIA
